,L,DL,X,Y
0,0.09508979177017766,0.0015957242938359152,75.0,53.0
1,0.06218572826662128,0.0012672460353629214,54.0,49.0
2,0.050113214564469974,0.00144658668967644,47.0,82.0
3,0.03587287143064757,0.0009836542815612527,1.0,2.0
4,0.026929240449746178,0.0016281305612497175,39.0,89.0
5,0.023720017905702905,0.0008945623466811173,58.0,92.0
6,0.01405414028622866,0.0009948566133087364,13.0,25.0
7,0.011136656704480764,0.0007288226676912674,39.0,54.0
8,0.009658525104676638,0.0007549895607466035,13.0,63.0
9,0.007615314989106564,0.0004837914723588751,37.0,31.0
10,0.00604420757590933,0.0004820473030279204,29.0,69.0
11,0.004407656376721457,0.0007818097202907515,58.0,39.0
12,0.004027295783720143,0.0004266634574328236,24.0,24.0
13,0.003592103186808808,0.0005828636022195724,79.0,36.0
14,0.003524665491278574,0.0007881745399457047,42.0,64.0
15,0.0032612050764378813,0.0005679439684781617,23.0,96.0
16,0.0030439124284268064,0.0006887989137173945,98.0,83.0
17,0.0027393844039503585,0.001066687514993395,78.0,44.0
18,0.0026268542019015208,0.0005944556568073566,44.0,74.0
19,0.002572728195576648,0.00028688546992067693,10.0,70.0
20,0.002511134070926294,0.0007496346089381105,16.0,98.0
21,0.0024731760160159964,0.0009640535111924847,86.0,92.0
22,0.0023750182402228603,0.0005727767531241763,25.0,54.0
23,0.0022270526073251366,0.001421425058567023,21.0,60.0
24,0.002187578435866774,0.000470436240958276,66.0,99.0
25,0.0021811935526806735,0.0006273162563327743,48.0,91.0
26,0.0021630484032069373,0.0005237847792787708,66.0,77.0
27,0.0019651084643766254,0.00030146431756429055,24.0,9.0
28,0.001895691273476792,0.0006416033529026675,35.0,23.0
29,0.0018900629331798473,0.00044379049617980027,30.0,98.0
30,0.0017956573017508454,0.00044754061464471155,44.0,20.0
31,0.0017343626130881435,0.0007492449784696831,84.0,67.0
32,0.0017268132536190702,0.0003807671074326132,48.0,33.0
33,0.0016672678176114933,0.0005586772317545522,9.0,63.0
34,0.0016369945164013341,0.0004597511097374603,33.0,37.0
35,0.0016165623868709062,0.0005917826993576686,10.0,40.0
36,0.001599732600060541,0.0009517558527937406,36.0,7.0
37,0.001578094529801234,0.0005920917350509565,32.0,11.0
38,0.00143216758653728,0.0005313567058912075,62.0,37.0
