,L,DL,X,Y
0,0.09166707300778941,0.0015342381653697923,75.0,53.0
1,0.06073174398637588,0.0009924251358988925,54.0,49.0
2,0.04830139482777925,0.0013067307350481065,47.0,82.0
3,0.03436835221444283,0.0007927393214412851,1.0,2.0
4,0.02257892155572795,0.0007646275348075816,39.0,89.0
5,0.02236491266229798,0.0013708057694280836,58.0,92.0
6,0.014605869870845735,0.0009615240232334047,13.0,25.0
7,0.00880277283958127,0.000999674973768386,39.0,54.0
8,0.007355780326674289,0.0005274437142597944,13.0,63.0
9,0.006221426203008324,0.0005563395716338958,37.0,31.0
10,0.004847379136254478,0.0003712167965922625,24.0,96.0
11,0.00404024425761308,0.0005223073129899699,24.0,24.0
12,0.0037434153525634116,0.0008323464443003034,58.0,38.0
13,0.003242992302725258,0.00045062927210229135,10.0,70.0
14,0.002425193703985569,0.0002065277116697169,47.0,43.0
15,0.0024041396773273136,0.000555868216468494,16.0,97.0
16,0.002300026736541739,0.0005101572853170582,23.0,74.0
17,0.002281838072651055,0.00046238096919092476,78.0,44.0
18,0.0021383517436085963,0.0007072923761449697,23.0,42.0
19,0.002137329949612032,0.0007157986076927634,43.0,74.0
20,0.002132662431916929,0.0008316456863393903,21.0,60.0
21,0.0021189079553419945,0.0008464061603384064,24.0,9.0
22,0.00203676697234164,0.0005601831924676925,96.0,70.0
23,0.0020110118406198676,0.000600166741045062,48.0,91.0
24,0.0019976732308873285,0.0006518212876691604,68.0,99.0
25,0.0018756797212001598,0.0005299709254106096,10.0,62.0
26,0.0018389653095730826,0.00048483723184814805,26.0,39.0
27,0.0017760958030666612,0.000384873460957707,93.0,95.0
28,0.001747690157651985,0.00037261363088334176,12.0,48.0
29,0.0016985492602277833,0.0009054275448564743,68.0,2.0
30,0.001422363626879928,0.0004016044942980421,97.0,24.0
31,0.001411540150649038,0.0006049369250986862,83.0,67.0
32,0.0014046868013716672,0.0003803067317808177,36.0,7.0
33,0.001394468569160546,0.0003923724444532024,53.0,27.0
34,0.0013762382497663787,0.0004230965146368039,97.0,11.0
35,0.0013027527056104812,0.0004506498854418839,62.0,37.0
36,0.0011849975555069166,0.000520597127147144,61.0,2.0
37,0.0011566823721014842,0.0005083074697451671,3.0,46.0
38,0.0010236099506199452,0.00046302422296462954,54.0,63.0
