,L,DL,X,Y
0,0.09962322861742702,0.0017519238950101355,75.0,53.0
1,0.0648812154606422,0.0017284303147639222,54.0,49.0
2,0.05271465742490943,0.0019390742789747444,47.0,82.0
3,0.03811524147848762,0.0019634953108785273,39.0,89.0
4,0.03677114373608743,0.000565446841176612,1.0,2.0
5,0.03408774843299539,0.0012938146350907841,58.0,92.0
6,0.02375116779529017,0.0010483422239283755,13.0,25.0
7,0.0178440715164467,0.00048162423925681466,39.0,54.0
8,0.013339065800150821,0.0009729760212620457,13.0,63.0
9,0.013309413207486727,0.0007093568814197593,15.0,98.0
10,0.00975318272108341,0.000810161458580682,37.0,31.0
11,0.008917693414032427,0.0007811968661987315,8.0,99.0
12,0.008601432760736216,0.001644607776239751,40.0,98.0
13,0.008504153461558061,0.0013327740915019678,78.0,44.0
14,0.00810651713822536,0.0011491494639833187,58.0,39.0
15,0.007476666259443114,0.00046387939409342596,98.0,63.0
16,0.006407617415869137,0.0010568062377186958,46.0,50.0
17,0.005685446018678791,0.0005165526134945497,98.0,41.0
18,0.005574933166410117,0.0014928363414605011,23.0,24.0
19,0.004842954651460762,0.0008704385806576759,99.0,76.0
20,0.004410247301523013,0.0007366074740755867,99.0,9.0
21,0.0042586427787073555,0.0006661037691214581,98.0,70.0
22,0.003988393353206094,0.0023364235419215595,52.0,58.0
23,0.003554096493232312,0.0007927077317255493,99.0,15.0
24,0.0033687157464073816,0.00111187270353418,30.0,98.0
25,0.0033169653665874226,0.0004973273865579997,81.0,98.0
26,0.0031816895246371646,0.0013679953556389884,79.0,36.0
27,0.0030123711064054906,0.0006771365644514938,98.0,33.0
28,0.0029650161571929657,0.0010374988546752208,99.0,50.0
29,0.002901102769385183,0.0005832821586257589,15.0,14.0
30,0.002776526157710666,0.0006894370752455529,21.0,60.0
31,0.0027705322215208585,0.0013947183857923803,98.0,57.0
32,0.002458412128219649,0.0017269538245856992,34.0,23.0
33,0.0023130019347382407,0.000537388505300871,29.0,29.0
34,0.0022988245060313927,0.0004943264878684237,46.0,8.0
35,0.0022191148256733508,0.0005691321305305639,67.0,98.0
36,0.001973455620252239,0.0004502917787819101,64.0,77.0
37,0.0018536970382604463,0.000525620436585927,24.0,9.0
38,0.001763537734093805,0.0007942921323781174,91.0,65.0
39,0.0017004557990199386,0.0020303423934915936,48.0,33.0
40,0.0016783190441181412,0.00035784696890784414,61.0,37.0
41,0.0011525722728503943,0.0004132124399877488,55.0,63.0
42,0.0011190159744036009,0.00015514765334649996,44.0,21.0
