,L,DL,X,Y
0,0.09283552070938958,0.0015264556646181085,75.0,53.0
1,0.0612642193134536,0.0011235056817966683,54.0,49.0
2,0.04855767701861457,0.0013657559233544543,47.0,82.0
3,0.03465347717112296,0.0009549780525380863,1.0,2.0
4,0.029942580333286995,0.0009626959185834378,39.0,89.0
5,0.02495023426503424,0.0013967201481184838,58.0,92.0
6,0.022409423748192988,0.000877293801233167,13.0,25.0
7,0.014174257604084743,0.000913185549473938,39.0,54.0
8,0.009517918255021388,0.0009974631747659685,13.0,63.0
9,0.007989481871232947,0.0005464327235330222,91.0,88.0
10,0.007453406993166453,0.0005131405749646072,58.0,38.0
11,0.006311662074764432,0.0005186731909227862,49.0,68.0
12,0.003693650464821763,0.0002878862277639744,29.0,69.0
13,0.003236692266101019,0.0006932889935389255,24.0,24.0
14,0.0031934661739647175,0.0009706858785593264,16.0,98.0
15,0.0031085331147029413,0.0006735705336782451,10.0,70.0
16,0.00266490433852222,0.0007279966563982871,23.0,97.0
17,0.002618758293170204,0.00045950103373125994,78.0,44.0
18,0.002591893041538239,0.0005879715326839939,47.0,44.0
19,0.0024963595354838084,0.0002049870653208313,30.0,29.0
20,0.0024498325230848748,0.0014379385971288472,98.0,83.0
21,0.0024061317832189144,0.0005686406795322218,23.0,42.0
22,0.0023004954081611486,0.00047968314188542,44.0,74.0
23,0.0022690908912440457,0.0006990934834711642,21.0,60.0
24,0.0021914202599418427,0.0003715052599337713,69.0,98.0
25,0.002098201495279654,0.0008768596606419815,81.0,98.0
26,0.0020258933056644503,0.0005329997324570354,24.0,9.0
27,0.0020231379549215923,0.0008521515663284994,48.0,91.0
28,0.0019838428449280338,0.00039053866771244204,12.0,48.0
29,0.001958566298619974,0.0004984079936111567,48.0,33.0
30,0.0019282308397792526,0.0004108513858697977,36.0,7.0
31,0.0019099355083109996,0.00039938103009673834,10.0,63.0
32,0.0017393934518655741,0.000685679280025353,83.0,67.0
33,0.0017080114185512828,0.0006798122351800044,2.0,46.0
34,0.001425854097570744,0.0007073184468618113,61.0,25.0
35,0.0012180782514615565,0.0004961056070595147,39.0,79.0
36,0.0011956983848970773,0.0003953791385891119,15.0,76.0
37,0.001126156329563471,0.0004184741147494891,8.0,80.0
38,0.0010269059597278383,0.000273128626857153,98.0,56.0
39,0.0009872368525904785,0.00041671577215433137,68.0,29.0
