,L,DL,X,Y
0,0.09715652132735539,0.0021574259034142238,75.0,53.0
1,0.0648614438050728,0.0017103360286999632,54.0,49.0
2,0.05000641198388214,0.0018320437564009612,47.0,82.0
3,0.036543570742207446,0.0018832657309927091,39.0,89.0
4,0.02745117763251779,0.0021533978915199816,58.0,92.0
5,0.021901454706701833,0.0013772957414705273,13.0,25.0
6,0.014112820848800063,0.001056835363528277,39.0,54.0
7,0.010235088608394737,0.0016098509194817276,13.0,63.0
8,0.009846331219626178,0.0012608278356593947,16.0,98.0
9,0.008776996930605619,0.0009352745020833116,81.0,98.0
10,0.00728479285819966,0.0008005856473015124,24.0,98.0
11,0.007143821244458927,0.0005799596562217253,37.0,30.0
12,0.0069585239061345375,0.0011711021590558415,58.0,39.0
13,0.0040273854655763245,0.0006404188762692966,99.0,56.0
14,0.003817768522836921,0.0009054420060126677,71.0,71.0
15,0.0032504692026291255,0.00037456227423388104,61.0,46.0
16,0.00319152597173154,0.0005703675036102427,78.0,44.0
17,0.0031319463843872825,0.00047700545564067717,15.0,14.0
18,0.002909345588895522,0.000849850735894244,53.0,58.0
19,0.0028678757703620495,0.0009676131783677185,25.0,9.0
20,0.002823084650556828,0.0005490539293383851,29.0,69.0
21,0.002795160864527222,0.0007545497613124313,29.0,28.0
22,0.0027203219991547354,0.0004005329282356517,24.0,24.0
23,0.0027111002588831555,0.0008085260463755209,42.0,64.0
24,0.0026928927783982162,0.0007000870663234156,45.0,8.0
25,0.0026013236890779644,0.0004653902197163821,23.0,42.0
26,0.002586927697188817,0.0005201539279558188,19.0,48.0
27,0.0022278048421584522,0.0005487063107115187,21.0,60.0
28,0.002218540957998798,0.0006284677249447574,35.0,23.0
29,0.0020629618183655154,0.000655960278225222,28.0,48.0
30,0.0019506598674261199,0.0006964557697761952,62.0,83.0
31,0.0018567174388659218,0.0006421137518468762,91.0,54.0
32,0.0017621934264565311,0.0005621330640346073,8.0,85.0
33,0.0017098510595505748,0.0006406809955871133,48.0,32.0
34,0.0017024211479852972,0.0004362189273968916,92.0,47.0
35,0.0016473849844865958,0.0008293888139221113,12.0,48.0
36,0.001608465164445851,0.0007288783549335928,60.0,37.0
37,0.0016008783879934833,0.00036262089797247824,67.0,85.0
38,0.001587405139973557,0.0004120473813422225,61.0,23.0
39,0.0014913152040800326,0.0006856647280553712,67.0,29.0
40,0.001490314501011798,0.0003555289291459562,21.0,7.0
41,0.001350366928719034,0.0003605208149065355,35.0,59.0
42,0.0013247523388076423,0.0003648502774530617,32.0,55.0
43,0.00128019349509698,0.0005958729424514646,54.0,26.0
44,0.0012729056051449235,0.00033215950945850734,8.0,62.0
45,0.0010292035133216589,0.0006884598949550067,77.0,71.0
