,L,DL,X,Y
0,0.09696840131176018,0.0016337216878728978,75.0,53.0
1,0.06395947004758003,0.0016291371878924528,54.0,49.0
2,0.05168567388181543,0.001477215754839628,47.0,82.0
3,0.036885475725983684,0.0015558150944810206,39.0,89.0
4,0.03084447986855662,0.0010071791391582023,1.0,2.0
5,0.024037244029335724,0.0008930393582775919,58.0,92.0
6,0.015262365994507547,0.0009497197341934791,13.0,25.0
7,0.009820373766487478,0.0007624712525313325,39.0,54.0
8,0.008507830446302787,0.0005186383609147955,13.0,63.0
9,0.008232281802480906,0.0005052239662751117,16.0,98.0
10,0.0075164012588765025,0.0007279428355877201,37.0,31.0
11,0.006868248648963126,0.0005259438973260089,66.0,56.0
12,0.00640011738430654,0.0004077590933846744,58.0,39.0
13,0.006119543128127234,0.0004117678169649976,91.0,89.0
14,0.005457577569739299,0.000590727030094306,23.0,97.0
15,0.004571112976224962,0.0004768814656017022,99.0,9.0
16,0.004515938161337066,0.0013021854424025505,64.0,98.0
17,0.004407504806279016,0.001258861011216654,78.0,44.0
18,0.004338047686327329,0.00046784053438966383,99.0,15.0
19,0.004285279450719338,0.0004473846704653968,98.0,63.0
20,0.004272406187298948,0.0009438848784826463,9.0,54.0
21,0.00420072613304024,0.0005121202311536033,42.0,98.0
22,0.004184321752591404,0.00054219313921479,15.0,14.0
23,0.00385152090227536,0.0011473856679656848,29.0,69.0
24,0.0035879904679422636,0.0006032531149132003,79.0,36.0
25,0.003583369735863885,0.0012258453668383931,81.0,98.0
26,0.003051078948967004,0.000807881049590544,24.0,24.0
27,0.0028299020895058663,0.00039043491312475387,22.0,84.0
28,0.002757347559979528,0.0007203335656844333,42.0,63.0
29,0.0027482187939459678,0.0006217276999578883,99.0,33.0
30,0.002709740417439688,0.00113780146324969,24.0,8.0
31,0.0026489369584190015,0.001007416455044054,23.0,42.0
32,0.002628864193871207,0.0011977466296119166,29.0,29.0
33,0.0025728349014145667,0.00029463754117868535,29.0,99.0
34,0.002525368939043047,0.0004941467486909071,98.0,83.0
35,0.0024617406477966458,0.00043593917800316395,21.0,60.0
36,0.0023736845697238627,0.0007944049886477406,91.0,8.0
37,0.0023267719448526567,0.0005143800554008409,45.0,8.0
38,0.0022869414384491774,0.0005672994756739164,27.0,16.0
39,0.0021914826838965898,0.0007339916275152828,51.0,99.0
40,0.00215813077438669,0.0009297095137794392,98.0,41.0
41,0.0021201183659027116,0.00043043376755671673,35.0,23.0
42,0.0021179741290556563,0.00054523635683251,98.0,23.0
43,0.0020116897890262776,0.00042087072698324753,66.0,77.0
44,0.001979203648163431,0.0004479256072972583,64.0,9.0
45,0.001973828683786629,0.0005770255208551002,28.0,90.0
46,0.0018572603685888809,0.0006114932954240542,26.0,39.0
47,0.0017411526636497935,0.0003071446690769731,9.0,63.0
48,0.001730989157735676,0.000433356804239824,91.0,65.0
49,0.001699310698510064,0.0005859715949547047,9.0,70.0
50,0.0016442445824288534,0.000780347860949182,62.0,23.0
51,0.0015105117932281904,0.00046623536727849994,28.0,47.0
52,0.001482039817601651,0.001012206081603706,86.0,92.0
53,0.0013733026789904562,0.0003845666011753086,8.0,80.0
54,0.0013456912957613403,0.0010202062553837563,69.0,98.0
55,0.0013396455125494543,0.00031328000200578804,8.0,18.0
56,0.0013387505597179214,0.0004894178966874857,37.0,98.0
57,0.0013270942518126229,0.001150888875727527,60.0,37.0
58,0.001317727970330517,0.00019252707982421346,92.0,95.0
59,0.0013120649840100555,0.0007526818332677377,20.0,19.0
60,0.0012623017540088564,0.0014696584330507094,88.0,73.0
61,0.0011646909787188984,0.00043470679663222837,85.0,39.0
62,0.0010679368550615977,0.00045262161852288217,77.0,68.0
63,0.001012301797583034,0.0003618274855262734,67.0,30.0
