,L,DL,X,Y
0,0.07850811996830852,0.001360441367541503,75.0,53.0
1,0.049308744053093004,0.0016004912847797082,54.0,49.0
2,0.036269010268385686,0.0009293397952764668,47.0,82.0
3,0.02701545419725904,0.0011590816515062653,1.0,2.0
4,0.018770232961910827,0.0013088678293384163,39.0,89.0
5,0.018548322922352402,0.0014853812637267508,58.0,92.0
6,0.012003331719905568,0.0016280469835945083,16.0,25.0
7,0.006100066450476882,0.001021547109992581,12.0,26.0
8,0.00529824084702637,0.00084516671434334,39.0,53.0
9,0.004625645272564814,0.0006038312642427765,13.0,22.0
10,0.002693585049829346,0.0007411915504956423,12.0,63.0
11,0.0025544898605748025,0.0007542195867395682,42.0,82.0
