,L,DL,X,Y
0,0.07650176752820989,0.0015326267776688983,32.0,88.0
1,0.042246963288742626,0.0012659168917749629,69.0,48.0
2,0.02139614806487625,0.0011495678596648159,38.0,55.0
3,0.020435294576235195,0.0013367742583349409,12.0,63.0
4,0.017337258770434145,0.0009713656259486283,25.0,97.0
5,0.014711666583971997,0.0014402829333422555,94.0,10.0
6,0.014305720805139645,0.0009883013088720818,5.0,56.0
7,0.011139405870196108,0.0010284348576047545,41.0,64.0
8,0.010909497526230987,0.0011380116223606083,2.0,97.0
9,0.009125675487190133,0.0011118194804345407,70.0,71.0
10,0.005679106295915023,0.0007972298128092554,98.0,83.0
11,0.004974498589540163,0.0005603079564715451,37.0,31.0
12,0.004492198594132552,0.000733851086907994,60.0,47.0
13,0.0043631310710275,0.0007774256826811948,85.0,85.0
14,0.003909778796279617,0.0006822204443660016,98.0,42.0
15,0.0037903470670321714,0.0012188012497255484,79.0,36.0
16,0.0036044198497230534,0.0006592696595640069,49.0,68.0
17,0.0035042877070731423,0.0006787387596788212,41.0,88.0
18,0.003323384933903506,0.0006100335221550161,35.0,7.0
19,0.0031375588733297236,0.0005144591695939373,84.0,13.0
20,0.0030594548290332636,0.0007506946392815125,15.0,14.0
21,0.002803720297382176,0.0005326628426888015,23.0,74.0
22,0.002790573666331211,0.0004853663717868036,24.0,9.0
23,0.0026680184311054806,0.0005261203756862958,98.0,23.0
24,0.002637914434183507,0.0005961500453504037,77.0,17.0
25,0.0026315092559754997,0.0006121882900036159,16.0,98.0
26,0.002543097610779071,0.0005056117834534222,91.0,81.0
27,0.0025014088610486643,0.0006505784592993055,40.0,46.0
28,0.0024849640903811137,0.0003572625483505815,33.0,78.0
29,0.0024142455071511533,0.0008189051268487219,58.0,14.0
30,0.0023432825859143747,0.0005083873119318234,82.0,29.0
31,0.00233531574339069,0.0004718822103441164,29.0,69.0
32,0.0023013910167897366,0.0006822119130626158,9.0,70.0
33,0.0022813719061378925,0.0006409673455455814,46.0,82.0
34,0.00227954250312276,0.00038775508952693105,99.0,76.0
35,0.002117500657844362,0.0005472259359713802,69.0,64.0
36,0.0021173776147162863,0.0007209264414631222,99.0,16.0
37,0.0020891659634385035,0.0005991074234222419,29.0,98.0
38,0.002088663672803558,0.0004455091715780334,23.0,42.0
39,0.0020816186629536966,0.0004607266608464018,71.0,40.0
40,0.0020180546097877472,0.0005637563526022036,6.0,46.0
41,0.0020180491304741996,0.000600179477796931,65.0,9.0
42,0.0020123737031327517,0.0004870846468723795,73.0,78.0
43,0.0019816167284844827,0.0005080828086151711,34.0,23.0
44,0.001959442081051068,0.00046490595170303723,63.0,69.0
45,0.0019462296672821098,0.0005571023963856998,99.0,98.0
46,0.0019268525346015015,0.00041018450432026064,66.0,77.0
47,0.0019238966269159558,0.00040660292076388484,46.0,51.0
48,0.0019168283597044353,0.00018769601022558587,36.0,64.0
49,0.0019082076390770895,0.0007701386638402937,74.0,26.0
50,0.0018708105127753806,0.00043873511315098093,52.0,46.0
