,L,DL,X,Y
0,0.04296187702640742,0.0016078259701605086,32.0,88.0
1,0.021906801567229288,0.0012525701960214683,69.0,48.0
2,0.021341943786699864,0.0026776502578677,38.0,55.0
3,0.020408434429726105,0.0008988749030502894,12.0,63.0
4,0.013306565117790523,0.0008188693009912075,24.0,98.0
5,0.010486572042685032,0.0013245362358575137,93.0,10.0
6,0.009912951522433674,0.0017946515811516316,48.0,98.0
7,0.009607205862859942,0.001255215828700398,6.0,56.0
8,0.0086776834165926,0.0009724812578907371,16.0,99.0
9,0.007585595336609628,0.0012688736458843263,29.0,99.0
10,0.006838104827659117,0.0010502319115041733,41.0,64.0
11,0.005024124718518298,0.0009494453106224572,43.0,99.0
12,0.004828487776161839,0.0007505956820190019,67.0,49.0
13,0.00383488637091627,0.0003856359342326349,70.0,71.0
14,0.003538878196427621,0.0007193425447715796,35.0,7.0
15,0.003434107861039852,0.0006634550511588783,37.0,30.0
16,0.003327003062481421,0.0005271894381105925,15.0,14.0
17,0.003315348607017622,0.0008229213390394798,6.0,45.0
18,0.0032034357204844778,0.0008382688964674969,13.0,20.0
19,0.0031763537465860745,0.0006115929043137454,70.0,92.0
20,0.003038899624336604,0.0005483813655560339,73.0,78.0
21,0.003037300833314823,0.000583961749105833,79.0,36.0
22,0.002863655115593572,0.0006275333435504869,86.0,7.0
23,0.0028317970590599267,0.000929197817628878,7.0,26.0
24,0.0028293374572013175,0.00042068466209704066,29.0,28.0
25,0.0028085950358972813,0.0006030507433910423,41.0,87.0
26,0.00272854756075455,0.0005395153181858339,81.0,7.0
27,0.002704213213150553,0.0006216477502989867,33.0,86.0
28,0.002564969562383116,0.0005421307851848279,48.0,67.0
29,0.0025514742219799507,0.001007350801624051,60.0,47.0
30,0.002536912511882313,0.0009958948072956528,65.0,8.0
31,0.0025162720880450413,0.0005052487377070458,68.0,64.0
32,0.0024075834764955557,0.0004894539378511301,29.0,69.0
33,0.00236736348091954,0.000422284925381372,33.0,38.0
34,0.0023512971222826562,0.0005616815935974614,13.0,7.0
35,0.002338910795789513,0.0005151829898795011,19.0,98.0
36,0.0023328542224417357,0.0007306209987589039,28.0,47.0
37,0.002330358440073991,0.0005354466052240918,53.0,49.0
38,0.0023299092242121673,0.000549478382090974,34.0,23.0
39,0.002305727326254691,0.0006331203535585696,77.0,17.0
40,0.0022295942210672115,0.0006754186293128514,45.0,8.0
41,0.0022102412673967184,0.0007400648380207228,8.0,13.0
42,0.0021940110005714436,0.0005612721831434279,35.0,79.0
43,0.0021363996309982625,0.000690543060811613,66.0,77.0
44,0.0021279660092397585,0.0004385014879281456,61.0,52.0
45,0.002115429805016474,0.0004512950031029032,85.0,48.0
46,0.0020972001817146143,0.0005425114691591321,74.0,25.0
47,0.002089498357343689,0.00037717626131596594,23.0,42.0
48,0.0020833971404434887,0.0004730666411691742,78.0,43.0
49,0.0020648381916403514,0.0010067959025248693,21.0,60.0
50,0.0020614930580182293,0.00038726665717611164,46.0,51.0
51,0.002032076965030705,0.0007251540101115485,51.0,46.0
52,0.002008444925018928,0.0005400862828480382,84.0,19.0
53,0.0019600202393584014,0.00033774813406717904,7.0,78.0
54,0.001937290530860921,0.0005873308558962962,16.0,83.0
55,0.0019214041677828584,0.000648593067787486,14.0,48.0
56,0.001859034090210173,0.0005817475740546788,8.0,54.0
57,0.001813855051253845,0.0005309126276388891,73.0,7.0
58,0.001769518946463415,0.0004918408962333433,56.0,72.0
59,0.0017674348674564888,0.0006500271800867887,83.0,69.0
60,0.0017207144658180384,0.00045928414118091414,70.0,13.0
61,0.0017133321932398474,0.0007788524008745619,66.0,56.0
62,0.001680399993753933,0.0005589718839572245,14.0,32.0
63,0.0016320723392587244,0.0004150972512145697,84.0,42.0
64,0.0016031539292009126,0.0004934221583707858,15.0,76.0
65,0.0015951003302170147,0.000564390831732471,7.0,7.0
66,0.0015608250319077736,0.0006091721773501075,22.0,15.0
67,0.001548304437356614,0.0003350636169743331,19.0,49.0
68,0.001512192870020409,0.0005855148138305109,68.0,85.0
69,0.0015100526545153373,0.0006855219574008854,28.0,61.0
70,0.0015054738677448953,0.000300837317653973,24.0,23.0
