,L,DL,X,Y
0,0.04103485781417211,0.001248774823638106,32.0,88.0
1,0.02112437805029101,0.0012886732470573177,69.0,48.0
2,0.017917107812131433,0.0007169531581734907,12.0,63.0
3,0.01511267065312572,0.0008508834956832082,38.0,55.0
4,0.010559858458228587,0.0010312501422944,94.0,10.0
5,0.009256073202554341,0.0008216418776130229,24.0,97.0
6,0.0075979455458811355,0.0008218154434756316,5.0,56.0
7,0.006034285033753785,0.001026984835900255,41.0,64.0
8,0.0048302946615374305,0.0007360743643620382,84.0,85.0
9,0.004383984984726962,0.0006242100073567985,37.0,30.0
10,0.003882510876243001,0.0005983249574561414,98.0,83.0
11,0.0037190335913340174,0.0007081594352815771,84.0,13.0
12,0.0033293688430776117,0.0007266547998258837,35.0,7.0
13,0.0032520380647432026,0.0009163641427002007,16.0,98.0
14,0.003189580514973946,0.0005347745322762967,46.0,82.0
15,0.0028386526739135696,0.0005005488721387237,48.0,67.0
16,0.0027620316228885032,0.000514965473030185,60.0,47.0
17,0.0024989879012479836,0.0004700853035188762,71.0,40.0
18,0.0024278059765258752,0.0007773167546208891,86.0,93.0
19,0.002423299703734969,0.0006200622036461045,15.0,13.0
20,0.0024223911967468864,0.00046433730473769655,68.0,64.0
21,0.002407320579227485,0.0005907565809439648,23.0,42.0
22,0.0023878792699125783,0.0004682935095680911,7.0,45.0
23,0.002287175881444628,0.00042250768843355525,79.0,36.0
24,0.002256077246116241,0.0004705768972054752,77.0,17.0
25,0.0022521817188543027,0.00037380166972438976,53.0,79.0
26,0.0021651968290498282,0.00036141552768886203,54.0,49.0
27,0.0021564616396453173,0.0005521936254860994,35.0,79.0
28,0.002144304346830344,0.0006730224906551007,23.0,75.0
29,0.002137702393242995,0.0007775204443758491,29.0,69.0
30,0.002123482025373847,0.0004208313875931266,26.0,38.0
31,0.002122560359318446,0.0005773576053806908,99.0,62.0
32,0.0021035519393362264,0.000783848400395148,24.0,9.0
33,0.0020222657358947337,0.0004635373116858089,51.0,46.0
34,0.002015670231260018,0.0004395778523104489,58.0,14.0
35,0.001995287903083486,0.0005763480540879962,77.0,84.0
36,0.0019779814424062533,0.0004449998745310895,52.0,12.0
37,0.0019575095879013375,0.0003726470141826005,34.0,40.0
38,0.0019551550723033847,0.00034762761626549066,87.0,24.0
39,0.0019063570494767094,0.00042498784329520617,74.0,25.0
40,0.0018970325451927157,0.0005231034444860584,64.0,9.0
41,0.0018747043907740792,0.0004817168142063994,27.0,48.0
42,0.0018672221228045291,0.00048257979175732226,86.0,61.0
43,0.001846687931882635,0.0003534043692239998,13.0,20.0
44,0.0017839161438652615,0.0004644589395653166,46.0,8.0
45,0.0017798586199608963,0.00040935708441945515,20.0,18.0
46,0.0017415511976357403,0.0006754933932492332,65.0,77.0
47,0.0016678501634598583,0.0004986788886902883,93.0,70.0
48,0.0016382616731202694,0.000340815971973344,29.0,28.0
49,0.0016380747695318016,0.0002177571310717573,35.0,24.0
50,0.0016332858839038168,0.00037483685734458343,56.0,71.0
51,0.0016140202274956097,0.0003335863660223516,21.0,60.0
52,0.0016118038731705601,0.00036625133420250443,14.0,7.0
53,0.0015647000605468044,0.0006672713414563909,60.0,31.0
54,0.0015629973110852296,0.0005612320619573366,88.0,72.0
55,0.001539396702340532,0.00047070517276497754,48.0,33.0
56,0.0015073095161663391,0.00042257544653160424,93.0,39.0
57,0.0014737912855499907,0.000300489366470726,24.0,23.0
58,0.0014578913369232736,0.00041910053989501216,72.0,58.0
59,0.0014294247905573287,0.00042345388499531636,13.0,49.0
60,0.0013985737844710304,0.0004886126542595825,93.0,57.0
61,0.00138082821445162,0.0003754341589846727,73.0,7.0
62,0.0013743448477627456,0.00030145302550586763,67.0,84.0
63,0.0012792649002775066,0.00031561683197375693,76.0,65.0
64,0.0012619108884143642,0.00045458414930132533,57.0,91.0
65,0.0012601629583484778,0.0005010130851405173,14.0,32.0
66,0.0012378537557519022,0.00038335993622897293,15.0,90.0
67,0.001204837356367954,0.0004483302905304427,50.0,14.0
68,0.0012004564422260404,0.0005362449249760981,93.0,49.0
69,0.0011854844834675794,0.00028511238129692374,25.0,55.0
70,0.0011822036983594917,0.00035735759365370696,27.0,61.0
71,0.0011673041850240242,0.0003103261477751288,33.0,11.0
72,0.0011211111982442556,0.0002892116224032388,18.0,48.0
73,0.0010916793644782162,0.0005760974685809673,19.0,27.0
74,0.0010669151279802766,0.0003976018898761446,40.0,55.0
75,0.0009962687241009951,0.00040958305229742717,46.0,92.0
76,0.000914512498370698,0.0002466130492941882,14.0,64.0
77,0.0008939376637048502,0.00040723444936748503,53.0,7.0
78,0.0008524219491497108,0.00031486968117976885,79.0,91.0
79,0.0008190731454178254,0.0003145521715493672,18.0,7.0
80,0.0007975181301516281,0.00021804318132478132,64.0,43.0
81,0.0007750573003754307,0.00024256860536007787,87.0,54.0
82,0.0007641461082723819,0.00024326716243655878,42.0,35.0
83,0.0007576558536532889,0.0003008361010630676,53.0,26.0
84,0.0007458840004266875,0.00031189867496128344,62.0,37.0
85,0.0007227251890064763,0.0002481697086442057,14.0,28.0
86,0.0007120874717527415,0.00018968028325963806,27.0,28.0
87,0.0005387176478586404,0.00023506691927959166,92.0,55.0
88,0.0004988137180029814,0.0001789874435713714,27.0,54.0
89,0.0004786512793398493,0.0002413134719726648,54.0,43.0
90,0.00035310696129784385,0.00020494716716982386,33.0,49.0
