,r-a,Dra,w-a,Dwa
0,0.003574340184903253,0.0006900954714465808,0.003881199109044209,0.0005326444029631712
1,0.002811380329864635,0.000714082193483547,0.0032038246255822415,0.0008823967781013017
2,0.0023598418357173878,0.0007007190929348134,0.0031282591569658782,0.00046108174559859134
3,0.0021163287299392768,0.0006667250918718959,0.0026980900339842544,0.00047876242061611836
4,0.0019396382724269914,0.00047080464434113396,0.0026252258277918677,0.0004990704957581449
5,0.0019316685639709807,0.0005385332209746175,0.0026032519712375253,0.0008504784425340698
6,0.0016611917542481021,0.00042535124433925106,0.0025975200786090683,0.00037155087903529367
7,0.0014972442435947292,0.0005390647589242456,0.0025523647851924025,0.0006257811708162666
8,-1.0,-1.0,0.002222908464134654,0.000539629651875428
9,-1.0,-1.0,0.0022083918000234794,0.0004215915593565475
10,-1.0,-1.0,0.0021853622313426067,0.0007367659803278618
11,-1.0,-1.0,0.0021613824225966767,0.000533176232347527
12,-1.0,-1.0,0.002038316926336472,0.0006247239975514632
13,-1.0,-1.0,0.0019257943736364735,0.00048229850323803364
14,-1.0,-1.0,0.0019130902369400994,0.0008414669153219627
15,-1.0,-1.0,0.001870988725227646,0.0015607078147242567
16,-1.0,-1.0,0.0018657785345649479,0.0005565621368907721
17,-1.0,-1.0,0.001648793024455949,0.00034830568618691716
18,-1.0,-1.0,0.0013892755760207248,0.0004427618654665562
19,-1.0,-1.0,0.0010530175217055232,0.0004131651179677717
20,-1.0,-1.0,0.0010212586290096939,0.000374684819372815
21,-1.0,-1.0,0.09356426030616619,0.0015485417207086564
22,-1.0,-1.0,0.0613566061022403,0.0010814150210460842
23,-1.0,-1.0,0.04900448823348214,0.0013336629720720515
24,-1.0,-1.0,0.03776159213236803,0.0005445586632664103
25,-1.0,-1.0,0.03526731596263792,0.0008915328759697397
26,-1.0,-1.0,0.02355103456261515,0.0015044946625996614
27,-1.0,-1.0,0.023376855213049125,0.0010002949022093505
28,-1.0,-1.0,0.014120447083584705,0.0009997611990049402
29,-1.0,-1.0,0.009376082871681669,0.0007652025564371073
30,-1.0,-1.0,0.008320173255360361,0.0004920480169693287
31,-1.0,-1.0,0.006546092846988399,0.00043514387592917547
