,r-a,Dra,w-a,Dwa
0,0.009192015035977144,0.0009738749677281051,0.0030131394557386267,0.0004660699382221514
1,0.006313071886445026,0.0005156262563509823,0.002594780912317931,0.00042703743065986726
2,0.0035214770428950858,0.00046240923871866734,0.0023013757536598316,0.0006655678714178423
3,0.0031320022324457107,0.0007565420887869362,0.0021925920818170502,0.00045888707092937
4,0.0021705412629510422,0.0005520655456413566,0.0020838069593875903,0.0008268943046058765
5,0.0020852257184785263,0.000573991403020603,0.002071452988601586,0.00046108296095822513
6,0.0017197861983659646,0.00047874114557766193,0.0019867074024009232,0.0004030115712218109
7,0.0017009354456117033,0.0005564623974464324,0.0019376408579583632,0.0007813230935686153
8,0.0014175208629059449,0.0008200561204757469,0.0018800851612858823,0.0006281328855809454
9,-1.0,-1.0,0.0017765489471153922,0.0004914205441614119
10,-1.0,-1.0,0.0017380577280120687,0.00047786211520301424
11,-1.0,-1.0,0.0016452515548793017,0.0003910616899631312
12,-1.0,-1.0,0.0015951905636447403,0.0007331165516047448
13,-1.0,-1.0,0.0015330854690454416,0.0005091503002988979
14,-1.0,-1.0,0.001465144429074233,0.00034723604639596325
15,-1.0,-1.0,0.0013914249627202376,0.00032402458457084725
16,-1.0,-1.0,0.0011162898629612586,0.0005055807919236426
17,-1.0,-1.0,0.0010771887183671598,0.0005180719283283077
18,-1.0,-1.0,0.09093015065100098,0.0015382271228363729
19,-1.0,-1.0,0.05976745864321198,0.000979405046465153
20,-1.0,-1.0,0.04786634488802065,0.0012879739236016574
21,-1.0,-1.0,0.034157441217940954,0.0013146714666537266
22,-1.0,-1.0,0.02271195849056837,0.0007352468557173056
23,-1.0,-1.0,0.021499818612770966,0.0007330879469959739
24,-1.0,-1.0,0.014013328928141772,0.000916418334847926
25,-1.0,-1.0,0.008099042970546519,0.0005562482674383864
26,-1.0,-1.0,0.006539239004944981,0.00041091811871063103
27,-1.0,-1.0,0.003232074625976661,0.0007814204871785162
28,-1.0,-1.0,0.0023068555994330644,0.0006078318946421954
29,-1.0,-1.0,0.0016957756789899197,0.00036808309003303263
30,-1.0,-1.0,0.001508391735032772,0.00026508994369986617
