,r-a,Dra,w-a,Dwa
0,0.002680064493677986,0.0006984165720043295,0.0037808004800395536,0.000631468921513278
1,0.0023558060904543226,0.0006168516767089773,0.0036698504521081856,0.0007446461460429807
2,0.0017250145428857923,0.001036914488822656,0.002799924655031822,0.0005015566704481236
3,0.001615679355231395,0.0003783413454194152,0.002707168255911632,0.0003946115150269917
4,0.0014811803093403493,0.0005112230670329369,0.002656192217105455,0.00042973795435589544
5,0.001354336082051963,0.0005489362252715315,0.0024182863566507445,0.0005350950717115352
6,-1.0,-1.0,0.0023745759712510937,0.0006241062124259476
7,-1.0,-1.0,0.0022794357845295882,0.0005967032066986167
8,-1.0,-1.0,0.002220867540432418,0.0008191505209383173
9,-1.0,-1.0,0.0020770915098121314,0.0006565657073573251
10,-1.0,-1.0,0.001986887425481097,0.0007712602023934954
11,-1.0,-1.0,0.0018706901314035742,0.0003032656248691626
12,-1.0,-1.0,0.0017615004282691639,0.000417388894903038
13,-1.0,-1.0,0.0017241110037840455,0.00041017002023617576
14,-1.0,-1.0,0.0017161876539448563,0.00048274005883508465
15,-1.0,-1.0,0.0014245869995381365,0.00038189393263609233
16,-1.0,-1.0,0.0013017682185580356,0.000493024340154376
17,-1.0,-1.0,0.0012869174754956863,0.0007702694004039013
18,-1.0,-1.0,0.0011827221014855786,0.000371275264916598
19,-1.0,-1.0,0.0011650243619185552,0.0003541905080846375
20,-1.0,-1.0,0.001075646821624581,0.0006183822971235388
21,-1.0,-1.0,0.0008814914007173671,0.0003920162509781778
22,-1.0,-1.0,0.0008526858947553401,0.00023375520220193224
23,-1.0,-1.0,0.09163663201681685,0.0015281010642082843
24,-1.0,-1.0,0.0608561036790542,0.0010006968783689554
25,-1.0,-1.0,0.04822253798875945,0.0012874811361399518
26,-1.0,-1.0,0.03412245459055868,0.0013805221018582566
27,-1.0,-1.0,0.021962657273225408,0.0009494536891534954
28,-1.0,-1.0,0.02195058252867999,0.0008658489350115367
29,-1.0,-1.0,0.014369162293063151,0.0009442101561589695
30,-1.0,-1.0,0.00994549178361967,0.00040172244955481284
31,-1.0,-1.0,0.009362192362118056,0.00044466766210832904
32,-1.0,-1.0,0.008006135012852258,0.0009324776373284537
33,-1.0,-1.0,0.006516097198008899,0.0004194686782890818
34,-1.0,-1.0,0.004358614681864503,0.0005117315520872435
35,-1.0,-1.0,0.0024994109035053314,0.0004904038021699888
