,r-a,Dra,w-a,Dwa
0,0.0036802943496126936,0.00046615869583958625,0.0030769335941254823,0.0008476104135536216
1,0.002749962257686305,0.0008509730104765182,0.003031542080056085,0.00042232665060693074
2,0.0023282048327752914,0.0005611520819185834,0.0025437691160260776,0.0004249948562740589
3,0.0016167102229944547,0.0006501754629221147,0.002414870357620925,0.0008578840305930114
4,0.0012053849287837752,0.000934697769554495,0.002317844939286026,0.00018595414855555328
5,-1.0,-1.0,0.002266583537264061,0.0006900605084630073
6,-1.0,-1.0,0.002228640516697057,0.0007994908299503782
7,-1.0,-1.0,0.0021958017187061565,0.00045576215490891227
8,-1.0,-1.0,0.0021418644639769097,0.0006831407944605302
9,-1.0,-1.0,0.002141639660523229,0.0004784561484654516
10,-1.0,-1.0,0.002050761451362806,0.0003933094628013568
11,-1.0,-1.0,0.002049908268149276,0.000493172233432301
12,-1.0,-1.0,0.0019673230225946063,0.0005467234345847194
13,-1.0,-1.0,0.0018517879897115242,0.0006285249937578055
14,-1.0,-1.0,0.0017808608526981736,0.0002892186052600872
15,-1.0,-1.0,0.0015225457192735137,0.0004029804047397857
16,-1.0,-1.0,0.0014889750908748905,0.0011337080792361812
17,-1.0,-1.0,0.0012819837836887745,0.0004030443250833592
18,-1.0,-1.0,0.0012346661468849638,0.0009191074743852568
19,-1.0,-1.0,0.0011124630220322028,0.0003730122718504594
20,-1.0,-1.0,0.0010389167182124426,0.0003846606973949867
21,-1.0,-1.0,0.09255478080283273,0.0015910678981935786
22,-1.0,-1.0,0.06069121638395343,0.0010674965453282583
23,-1.0,-1.0,0.048773404957170606,0.001306952018076821
24,-1.0,-1.0,0.03464223855812338,0.0013506137101908506
25,-1.0,-1.0,0.022898769231260392,0.0007694479532941945
26,-1.0,-1.0,0.02264641717623649,0.0008302030378262099
27,-1.0,-1.0,0.01562093640446442,0.0003707309254750184
28,-1.0,-1.0,0.014807030902058793,0.0009675971218175499
29,-1.0,-1.0,0.009517408955399875,0.0009899037425381263
30,-1.0,-1.0,0.0077988305910715984,0.0004411287434048461
31,-1.0,-1.0,0.0075151344061846655,0.0003794938061945392
32,-1.0,-1.0,0.006365570183132164,0.0004456359618192364
33,-1.0,-1.0,0.004098757172566796,0.0004531410378909319
34,-1.0,-1.0,0.0030769709675399675,0.000452500975490933
35,-1.0,-1.0,0.001966277244729608,0.0005006064605822009
36,-1.0,-1.0,0.0016578104940493561,0.0002922100677542284
