,r-a,Dra,w-a,Dwa
0,0.02348653771716859,0.0014438913358404578,0.0034580074129929844,0.000864461709667944
1,0.008397792206680115,0.001167166343334594,0.002880339221508366,0.0007529817249814152
2,0.00787848020004182,0.0009325947113656608,0.002693377780654504,0.0006931539540595402
3,0.004917876730590423,0.000497752452732038,0.0026214684375860204,0.0008782502718447521
4,0.0040683184033041084,0.0005672512669514208,0.002543672343746934,0.0005111835543942663
5,0.003119474674205957,0.0005956427705180454,0.002350186490955843,0.0006158363313251294
6,0.0023145212474395584,0.00048818002066697513,0.0020045442541698163,0.0005094546923126473
7,0.0018383685394942778,0.0008844125804610389,0.0018950666449566488,0.000576171147099789
8,0.0015454118752841446,0.0007178533663288791,0.0017651377322787226,0.0004786090965185997
9,-1.0,-1.0,0.001722929889051647,0.00047044426618913474
10,-1.0,-1.0,0.0015879699288364776,0.0004899563856032114
11,-1.0,-1.0,0.0015511793298179325,0.000531274143410375
12,-1.0,-1.0,0.001135067509706217,0.00044071232098138086
13,-1.0,-1.0,0.0010464652694185616,0.00037599801480609114
14,-1.0,-1.0,0.000991946993699516,0.00043956013666546624
15,-1.0,-1.0,0.09245791743065007,0.0015519556576983455
16,-1.0,-1.0,0.060884711724086805,0.0010794294177076961
17,-1.0,-1.0,0.04871851489365127,0.0013062739880238257
18,-1.0,-1.0,0.03488682073286011,0.0008557655864324287
19,-1.0,-1.0,0.022894705576285743,0.0008099685406170097
20,-1.0,-1.0,0.014458563317204118,0.0009509455369937003
21,-1.0,-1.0,0.009300456558285276,0.0005343637686771655
22,-1.0,-1.0,0.006039764244354258,0.00048206218062899874
23,-1.0,-1.0,0.004968097936460958,0.00035833818838690036
