,L,DL,X,Y
0,0.08970027332001679,0.0014990756098122535,75.0,53.0
1,0.058882233421923565,0.0009185519404379911,54.0,49.0
2,0.047024969783968334,0.0012318385920208554,47.0,82.0
3,0.03361785274454216,0.0012614374137344265,39.0,89.0
4,0.022103924719381864,0.000824981293302901,1.0,2.0
5,0.019451967273846897,0.0007637741910397511,58.0,92.0
6,0.013841599977343615,0.0008945751193864609,13.0,25.0
7,0.009028013329587628,0.0009117461840126435,39.0,54.0
8,0.007707014486914414,0.0004969357953361254,13.0,63.0
9,0.006143848675143887,0.0003479020933782493,37.0,31.0
10,0.0040430927851395305,0.0003606661664594133,91.0,89.0
11,0.003429009518369047,0.0005353298504646378,23.0,96.0
12,0.0032701247341923524,0.00045408978757034864,58.0,38.0
13,0.0029951414341302936,0.0004724494150708974,24.0,24.0
14,0.002810790888124608,0.0005041364224433512,52.0,58.0
15,0.0027557180823203093,0.0007040724049464599,10.0,70.0
16,0.0022908838238215883,0.0006427505511180264,78.0,44.0
17,0.002244719762618902,0.0005142491395309636,74.0,26.0
18,0.0021872596706251453,0.0005351671342081867,23.0,42.0
19,0.002086322280573873,0.0006622786510818051,66.0,56.0
20,0.0020845921261505407,0.0004491361477614098,30.0,29.0
21,0.0020442565311792815,0.00040507955980035817,24.0,9.0
22,0.0020166558085366036,0.00033755682942396975,21.0,60.0
23,0.001971422638885197,0.0007431284951307098,34.0,23.0
24,0.0018953151964749893,0.0004115842635633749,10.0,62.0
25,0.0018347401359411406,0.00035142265391657914,65.0,9.0
26,0.0018171534934726759,0.00048743949782829616,66.0,77.0
27,0.0017524772410244512,0.00035269117878567824,48.0,33.0
28,0.0017283175064993735,0.00045008853170345846,83.0,68.0
29,0.0016862861730905926,0.0005472890377079379,26.0,39.0
30,0.001671964311088878,0.00035041578629917,36.0,7.0
31,0.0016473955929518912,0.0004407475347062269,3.0,46.0
32,0.0016319030168846494,0.0002922847537013527,56.0,71.0
33,0.0015904974950896383,0.0005770766322564551,68.0,2.0
34,0.0015176962300698575,0.00035713826905239257,61.0,3.0
35,0.00144543372365808,0.0004339718072313999,61.0,23.0
36,0.001432882924620326,0.00041659669392918585,96.0,24.0
37,0.0013467758917745803,0.0006430626333362807,67.0,98.0
38,0.0013203186812820499,0.0004129828800232604,38.0,79.0
39,0.001270698290312535,0.0004282701193157014,30.0,98.0
40,0.0012576530680515944,0.0004673575728525437,84.0,41.0
41,0.0010176690343810715,0.00033406506635824424,51.0,98.0
42,0.0009790781435244924,0.0002786336483480599,67.0,29.0
43,0.0009684397739942828,0.0004544987582586566,99.0,32.0
